  21 2021 03 29 00 00 00
 STID  STNM  TIME   RELH   TAIR   WSPD   WVEC  WDIR   WDSD   WSSD   WMAX    RAIN     PRES  SRAD   TA9M   WS2M   TS10   TB10   TS05   TS25   TS60    TR05    TR25    TR60
 ACME   110    15     28   18.7    1.8    1.8   123   11.6    0.3    2.4    0.00   975.93    96   19.3    1.1   16.8   17.1   18.5   13.5   12.2    -995    -995    -995
 ADAX     1    15     32   17.5    0.3    0.3    41    9.6    0.4    1.0    0.00   987.78    51   18.3    0.0   15.5   18.5   16.4   14.2   -998    -995    -995    -995
 ALTU     2    15     35   18.7    2.6    2.6   137    3.1    0.3    3.0    0.00   973.65   118   19.5    1.2   15.1   19.3   16.2   13.4   -998    -995    -995    -995
 ALV2   116    15     35   18.8    3.9    3.8   144    8.8    0.6    5.4    0.00   968.31   106   18.7    2.9   11.9   15.9   12.9   10.1   -998    -995    -995    -995
 ANT2   135    15     31   17.0    1.3    1.3    62   18.7    0.3    2.4    0.00  1002.79    25   17.9    0.3   16.9   18.8   17.1   15.2   14.2    -995    -995    -995
 APAC   111    15     29   18.2    2.1    2.1   190    2.7    0.1    2.5    0.00   970.71    99   19.1    1.1   15.4   18.4   18.7   14.2   12.0    -995    -995    -995
 ARD2   126    15     36   18.1    2.4    2.4    90    5.2    0.3    2.9    0.00   991.02    78   19.4    1.1   15.9   18.8   17.4   14.5   13.8    -995    -995    -995
 ARNE     6    15     20   20.1    5.2    5.1   208    9.4    1.2    7.9    0.00   936.99   127   20.1    3.5   17.0   17.6   17.8   12.1   10.2    -995    -995    -995
 BEAV     8    15     21   20.4    6.1    6.1   217    6.9    1.0    8.7    0.00   930.98   132   20.5    4.1   16.6   14.8   18.3   11.4    9.9    -995    -995    -995
 BESS     9    15     31   18.4    4.3    4.3   185    6.7    0.6    5.6    0.00   961.93   115   18.6    3.4   17.2   19.2   18.2   12.8   -998    -995    -995    -995
 BIXB    10    15     35   16.6    1.7    1.7   131    5.2    0.3    2.3    0.00  1000.69    38   17.6    1.1   13.1   17.7   15.3   11.7   11.2    -995    -995    -995
 BLAC    11    15     37   16.2    3.2    3.2   187    6.9    0.3    4.0    0.00   985.66    83   16.9    2.3   11.6   17.6   12.0   10.3   10.1    -995    -995    -995
 BOIS    12    15     20   20.0    8.8    8.7   202    7.3    1.1   11.5    0.00   874.56   171   20.0    7.1    9.4   11.1   10.5    7.9    7.8    -995    -995    -995
 BREC    14    15     37   16.6    3.2    3.2   173    6.8    0.6    4.5    0.00   980.00    87   17.3    2.0   14.5   16.7   14.2   11.6   10.7    -995    -995    -995
 BRIS    15    15     23   17.6    0.2    0.2    38    0.3    0.2    0.4    0.00   993.94    49   18.6    0.0   16.1   18.0   16.6   13.4   12.4    -995    -995    -995
 BROK   124    15     28   17.4    1.0    1.0    11   11.3    0.2    1.4    0.00  1009.39    45   18.1    0.5   17.4   18.5   17.7   -998   -998    -995    -995    -995
 BUFF    16    15     25   20.1    3.7    3.6   195   11.4    0.7    5.2    0.00   954.15   124   20.2    1.9   14.1   15.3   15.5   11.3   10.2    -995    -995    -995
 BURB    17    15   -996   -996   -996   -996  -996   -996   -996   -996    -996     -996  -996   -996   -996   -996   -996   -996   -998   -998    -995    -995    -995
 BURN    18    15     28   18.7    2.1    2.1    53    6.4    0.3    2.9    0.00   995.84    77   20.2    1.4   16.9   18.7   17.2   15.1   14.1    -995    -995    -995
 BUTL    19    15     26   19.1    5.0    4.9   187    6.4    0.6    6.3    0.00   960.54   116   19.3    3.4   13.4   19.8   13.7   11.7   10.7    -995    -995    -995
 BYAR    20    15     28   17.8    2.0    2.0   107   12.9    0.3    2.6    0.00   981.87    80   18.4    1.3   16.5   17.8   17.1   14.3   12.9    -995    -995    -995
 CAMA    22    15     22   19.6    5.7    5.6   200    6.5    0.8    7.2    0.00   951.99   118   20.1    3.7   13.7   19.8   15.3   11.6   -998    -995    -995    -995
 CARL   131    15     24   18.4    1.3    1.3   130    8.7    0.3    2.1    0.00   987.10    84   18.7    0.8   14.2   18.3   15.4   12.1   11.4    -995    -995    -995
 CENT    23    15     29   17.7    2.5    2.5    49    9.5    0.4    3.4    0.00   998.13    22   18.9    1.8   14.4   18.5   15.7   13.6   13.0    -995    -995    -995
 CHAN    24    15     27   17.5    0.8    0.8    42   10.6    0.2    1.6    0.00   987.83    91   18.3    0.1   16.1   17.3   15.8   13.7   -998    -995    -995    -995
 CHER    25    15     39   17.6    4.2    4.2   136    9.1    0.6    5.6    0.00   977.79    99   17.8    3.5   13.9   19.3   14.5   12.1   11.1    -995    -995    -995
 CHEY    26    15     24   18.3    6.5    6.4   192    7.8    0.8    9.0    0.00   940.84   122   18.6    5.4   14.0   20.1   17.4   11.9   10.7    -995    -995    -995
 CHIC    27    15     38   17.6    2.3    2.3   142    4.6    0.1    2.7    0.00   983.69    93   19.2    1.3   13.4   21.3   13.4   -998   -998    -995    -995    -995
 CLAY    29    15     27   17.0    1.1    1.1     6   10.2    0.2    1.5    0.00  1001.13    56   17.5    0.4   14.5   19.1   14.5   -998   -998    -995    -995    -995
 CLOU    30    15     28   16.4    1.7    1.6   318   17.5    0.6    3.2    0.00   997.14    44   17.1    1.3   17.1   17.2   16.1   15.3   -998    -995    -995    -995
 COOK    31    15     27   15.0    1.0    0.9   350   21.9    0.4    1.9    0.00   987.45    45   15.4    0.2   12.4   16.1   12.6   -998   -998    -995    -995    -995
 COPA    32    15     31   17.0    0.0    0.0   169    1.6    0.0    0.2    0.00   992.26    58   18.2    0.0   12.8   16.4   13.2   11.4   10.9    -995    -995    -995
 DURA    33    15     32   18.0    0.9    0.9    22   14.1    0.2    1.7    0.00   999.68    66   18.5    0.1   16.3   19.2   17.3   14.8   13.8    -995    -995    -995
 ELKC   139    15     28   18.4    6.5    6.5   187    4.2    0.7    7.8    0.00   953.31   122   18.5    4.8   13.1   20.9   13.5   11.9   11.2    -995    -995    -995
 ELRE    34    15     35   17.1    2.8    2.7   142    3.5    0.2    3.1    0.00   972.94    94   17.6    1.5   13.1   20.5   13.1   11.0   10.6    -995    -995    -995
 ERIC    35    15   -996   -996   -996   -996  -996   -996   -996   -996    -996     -996  -996   -996   -996   -996   -996   -996   -996   -996    -995    -995    -995
 EUFA    36    15     35   16.1    1.9    1.9   100    8.1    0.3    2.6    0.00   999.17    61   16.7    1.5   14.9   19.5   15.5   13.5   12.8    -995    -995    -995
 EVAX   141    15     21   19.7    6.6    6.5   201    6.0    1.1    8.8    0.00   896.27   107   19.8    4.3   12.8   14.0   11.6    8.4    7.9    -995    -995    -995
 FAIR    37    15     41   17.3    5.5    5.4   137    7.0    0.7    6.8    0.00   973.18    99   17.5    4.1   13.4   18.8   13.0   12.5   11.1    -995    -995    -995
 FITT   127    15     28   17.2    1.7    1.7    56    4.8    0.5    2.6    0.00   981.44    79   18.3    1.1   16.4   16.8   16.9   14.1   13.0    -995    -995    -995
 FORA    38    15     33   16.1    2.3    2.3   210    5.9    0.3    2.9    0.00   982.87    71   16.5    1.5   14.1   15.6   14.9   11.6   10.8    -995    -995    -995
 FREE    39    15     38   18.5    3.5    3.5   203    2.3    0.2    4.1    0.00   957.83   113   19.6    1.8   15.3   14.8   15.6   10.5   10.2    -995    -995    -995
 FTCB    40    15     32   18.3    2.4    2.4   211   10.7    0.3    3.3    0.00   972.81   109   18.9    1.6   17.1   21.5   18.9   14.2   12.4    -995    -995    -995
 GOOD    41    15     23   19.5    6.9    6.9   204    6.2    0.7    8.8    0.00   904.00   157   20.0    4.6   11.9   17.0   12.4    8.6    8.4    -995    -995    -995
 GRA2   117    15     38   19.2    2.0    2.0   186    8.0    0.3    2.7    0.00   982.56   111   20.0    1.1   15.8   20.5   15.7   13.7   13.2    -995    -995    -995
 GUTH    43    15     26   18.2    0.8    0.8   212   15.1    0.2    1.4    0.00   983.09    86   18.7    0.1   15.0   18.6   17.0   13.3   -998    -995    -995    -995
 HASK    44    15     36   15.7    1.3    1.3    96    6.6    0.2    1.6    0.00  1001.03    62   17.1    0.4   12.3   16.8   13.4   11.7   11.2    -995    -995    -995
 HECT   113    15     28   16.8    1.9    1.9    95    6.8    0.3    2.5    0.00   993.73    64   17.1    0.1   15.2   17.2   14.5   13.0   12.4    -995    -995    -995
 HINT    45    15     37   17.1    2.6    2.6   210    6.7    0.3    3.3    0.00   964.47   104   17.5    1.7   17.9   20.0   20.1   13.7   11.8    -995    -995    -995
 HOBA    46    15     33   18.4    4.4    4.4   195    6.0    0.4    5.4    0.00   966.99   112   18.5    3.2   13.8   19.8   15.8   12.5   11.6    -995    -995    -995
 HOLD   134    15     34   16.8    1.6    1.6    84    2.6    0.1    1.8    0.00   989.50    69   18.0    1.1   14.4   17.0   15.3   13.2   12.2    -995    -995    -995
 HOLL    47    15     27   19.7    3.9    3.8   174    5.4    0.4    4.7    0.00   963.76   120   19.9    2.6   16.6   19.5   18.5   13.1   12.2    -995    -995    -995
 HOOK    48    15     26   19.4    6.6    6.5   201    7.0    0.6    7.8    0.00   913.51   140   19.7    5.0   10.4   13.9   11.9    9.0    8.2    -995    -995    -995
 HUGO    49    15     32   16.4    2.5    2.5    50    7.1    0.4    3.5    0.00  1002.49    49   17.3    1.4   14.7   17.6   15.3   13.9   -998    -995    -995    -995
 IDAB    50    15     35   16.4    2.1    2.1   360    9.1    0.3    2.9    0.00  1010.07    47   18.2    1.3   18.6   19.8   16.6   16.1   -998    -995    -995    -995
