  21 2021 03 29 00 00 00
 STID  STNM  TIME   RELH   TAIR   WSPD   WVEC  WDIR   WDSD   WSSD   WMAX    RAIN     PRES  SRAD   TA9M   WS2M   TS10   TB10   TS05   TS25   TS60    TR05    TR25    TR60
 INOL   120    15     51   13.3    3.1    3.1    94    3.1    0.2    3.5    0.00  1000.32    54   15.8    2.2   14.1   17.2   14.1   12.0   10.9    -995    -995    -995
 JAYX    51    15     36   13.5    1.6    1.6    30    6.3    0.3    2.2    0.00   987.08    41   14.1    1.2   11.9   -999   14.3   11.8   -998    -995    -995    -995
 KENT    52    15     19   20.8    9.3    9.2   210    5.7    0.8   10.9    0.00   868.18   171   20.9    7.0    9.3   12.4   11.4    8.0   -998    -995    -995    -995
 KETC    53    15     22   20.0    0.0    0.0     0    0.0    0.0    0.0    0.00   982.24    92   20.5    0.0   16.8   20.3   17.7   14.7   13.3    -995    -995    -995
 KIN2   133    15     35   17.5    3.6    3.6   136    5.0    0.3    4.3    0.00   983.82    58   18.1    2.3   14.1   20.2   13.6   12.6   11.7    -995    -995    -995
 LAHO    55    15     45   15.9    4.5    4.5   152    4.5    0.3    5.5    0.00   974.57    93   16.3    3.0   13.0   15.7   14.4   10.8   10.3    -995    -995    -995
 LANE    56    15     27   18.2    1.1    1.0   102   12.2    0.3    1.6    0.00  1001.53    64   18.7    0.3   15.6   17.0   15.7   14.3   13.3    -995    -995    -995
 MADI    57    15     28   18.8    1.9    1.9    79   10.8    0.4    2.7    0.00   994.98    81   19.7    1.0   15.5   18.7   16.1   -998   -998    -995    -995    -995
 MANG    58    15     32   18.5    3.6    3.5   168    5.3    0.3    4.2    0.00   968.33   118   18.9    2.1   17.7   21.0   18.7   14.6   -998    -995    -995    -995
 MARE    59    15     23   18.3    0.2    0.2   356    8.5    0.1    0.4    0.00   983.34    84   18.6    0.0   12.3   17.0   13.1   11.8   11.3    -995    -995    -995
 MAYR    61    15     23   19.7    5.4    5.4   219    6.7    0.9    7.3    0.00   954.99   113   19.9    3.2   13.0   13.9   14.2   10.9    9.7    -995    -995    -995
 MCAL    62    15     29   16.6    1.8    1.7    90   13.2    0.5    3.0    0.00   995.90    58   17.0    0.4   17.5   17.5   18.0   15.8   -998    -995    -995    -995
 MEDF    63    15     43   16.6    3.3    3.2   155    7.8    0.5    4.6    0.00   981.87    91   16.8    2.5   11.0   16.0   11.9   -998   -998    -995    -995    -995
 MEDI    64    15     27   19.0    3.6    3.6   183    8.1    0.7    5.1    0.00   965.16   102   19.5    2.5   17.2   21.5   19.1   14.8   -998    -995    -995    -995
 MIAM    65    15     45   13.4    1.3    1.3    81    9.8    0.2    1.6    0.00   993.44    44   14.3    0.2   13.1   15.3   13.1   11.6   10.8    -995    -995    -995
 MINC    66    15     32   17.7    2.4    2.4   147    4.2    0.2    2.8    0.00   971.84    84   18.1    1.5   16.9   20.3   17.9   13.5   -998    -995    -995    -995
 MRSH   125    15     33   17.7    1.6    1.6   150    5.5    0.2    1.9    0.00   985.03    87   18.1    1.2   14.4   17.0   15.2   12.5   -998    -995    -995    -995
 MTHE    67    15     34   14.9    0.8    0.7   297   28.7    0.4    1.5    0.00   989.66    19   15.8    0.0   15.2   18.0   15.9   -998   -998    -995    -995    -995
 NEWK    68    15   -996   -996   -996   -996  -996   -996   -996   -996    -996     -996  -996   -996   -996   -996   -996   -996   -996   -996    -995    -995    -995
 NEWP   123    15     25   19.0    0.8    0.7    66   19.7    0.2    1.3    0.00   989.01    65   19.5    0.0   -999   17.2   13.8   -998   -998    -995    -995    -995
 NOWA    70    15     42   15.0    3.1    3.1   170    7.3    0.4    4.1    0.00   997.80    50   15.9    2.1   13.4   15.8   14.4   11.5   10.8    -995    -995    -995
 NRMN   121    15     25   18.5    0.9    0.9   255    4.0    0.3    1.7    0.00   980.42    78   19.5    0.4   14.0   16.8   14.5   12.5   11.8    -995    -995    -995
 OILT    71    15     27   17.8    0.6    0.6   326    2.9    0.1    0.8    0.00   991.95    55   18.5    0.0   17.0   18.8   18.0   14.4   12.2    -995    -995    -995
 OKCE   130    15     22   19.1    0.5    0.5   128   12.6    0.3    1.0    0.00   980.33    94   19.4    0.1   16.1   20.7   18.8   14.2   12.4    -995    -995    -995
 OKEM    72    15     28   17.5    0.6    0.6   109    6.6    0.2    0.9    0.00   991.50    67   18.0    0.0   15.6   17.1   16.7   13.7   -998    -995    -995    -995
 OKMU    73    15     42   15.2    2.1    2.0    94    5.0    0.2    2.7    0.00   998.55    70   16.9    1.3   14.4   16.9   15.4   11.9   -998    -995    -995    -995
 PAUL    74    15     28   19.1    1.4    1.4   173    9.3    0.3    2.0    0.00   988.16    82   19.6    0.0   16.9   18.1   17.0   14.5   13.4    -995    -995    -995
 PAWN    75    15   -999   17.3    0.6    0.6   225    9.1    0.1    0.8    0.00   988.89    79   17.9    0.0   16.0   15.9   16.2   -996   11.5    -995    -995    -995
 PERK    76    15     39   17.2    1.7    1.7   154    6.0    0.2    2.2    0.00   987.56    79   18.4    0.9   15.2   18.9   16.4   13.0   11.9    -995    -995    -995
 PORT   118    15     34   15.9    1.8    1.8    95    8.8    0.2    2.4    0.00   999.97    59   16.8    0.9   12.4   16.7   12.8   11.9   11.5    -995    -995    -995
 PRYO    77    15     48   14.2    1.7    1.7   124    2.0    0.1    1.8    0.00   998.86    46   15.8    0.4   11.7   16.2   13.1   11.3   -998    -995    -995    -995
 PUTN    78    15     32   17.6    5.1    5.1   177    6.8    0.7    7.2    0.00   952.60   113   17.8    3.9   13.6   15.4   17.9   12.3   10.5    -995    -995    -995
 REDR    79    15     33   17.2    1.8    1.8   135    2.8    0.3    2.4    0.00   987.21    83   17.7    0.6   14.9   16.2   15.1   12.2   11.5    -995    -995    -995
 RING    81    15     39   18.4    2.6    2.6   119    3.7    0.2    3.1    0.00   989.06    92   20.0    1.7   17.0   21.0   16.6   14.8   -998    -995    -995    -995
 SALL    82    15     27   16.6    1.4    1.3   325   13.3    0.3    2.3    0.00  1004.35    49   17.0    0.7   15.8   17.2   -999   14.7   13.4    -995    -995    -995
 SEIL    83    15     25   19.3    3.8    3.7   172    8.8    0.8    6.0    0.00   956.92   111   19.4    2.8   14.5   18.1   14.3   11.6   10.9    -995    -995    -995
 SEMI   143    15     27   18.3    1.1    1.1    84    7.9    0.2    1.6    0.00   988.14    77   18.6    0.1   13.7   17.4   13.9   12.9   12.3    -995    -995    -995
 SHAW    84    15     26   18.2    1.0    1.0   164    8.4    0.4    1.7    0.00   983.74    82   18.8    0.4   15.0   17.4   14.9   13.4   12.2    -995    -995    -995
 SKIA    85    15     27   16.7    1.1    1.1   110    9.4    0.1    1.4    0.00   988.67    55   17.2    1.0   14.5   17.0   15.4   12.6   11.9    -995    -995    -995
 SLAP    86    15     22   20.1    6.1    6.1   193    5.9    1.0    7.9    0.00   929.73   131   20.0    4.5   18.4   18.2   19.0   12.8   10.4    -995    -995    -995
 SPEN    87    15     25   18.3    0.4    0.4   191    8.9    0.3    0.8    0.00   978.14    98   19.1    0.0   16.4   18.0   17.2   14.9   12.6    -995    -995    -995
 STIG    88    15     36   14.9    2.0    2.0    23    5.1    0.2    2.4    0.00  1002.51    53   16.4    1.2   14.8   18.7   16.1   13.8   12.7    -995    -995    -995
 STIL    89    15     21   18.5    0.0    0.0     0    0.0    0.0    0.0    0.00   989.85    80   19.7    0.0   14.6   19.0   15.1   12.9   12.1    -995    -995    -995
 STUA    90    15     32   16.3    2.9    2.9    60    4.6    0.3    3.4    0.00   992.54    67   17.9    1.9   15.7   17.6   16.9   14.6   13.2    -995    -995    -995
 SULP    91    15     28   17.8    2.1    2.1   101   11.0    0.4    2.9    0.00   985.02    82   18.7    1.3   17.0   20.7   17.8   -998   -998    -995    -995    -995
 TAHL    92    15     31   14.4    0.6    0.6     1   17.3    0.2    1.1    0.00   988.85    50   15.0    0.0   14.6   16.1   14.8   -998   -998    -995    -995    -995
 TALA   138    15     46   15.2    3.2    3.1   149    5.8    0.3    3.9    0.00   995.37    56   15.8    2.0   12.5   17.0   12.5   11.2   10.5    -995    -995    -995
 TALI    93    15     28   15.8    2.3    2.3    30    7.4    0.3    3.1    0.00   999.09    48   16.5    1.1   16.7   17.6   16.9   15.2   -998    -995    -995    -995
 TIPT    94    15     34   19.0    0.8    0.8   104    4.1    0.1    1.1    0.00   977.17   118   19.8    0.0   14.8   21.4   15.0   13.4   13.0    -995    -995    -995
 TISH    95    15     28   18.2    2.1    2.1   103    6.2    0.3    2.6    0.00   991.01    75   18.8    1.5   17.1   17.5   16.7   15.2   -998    -995    -995    -995
 TULN   137    15     27   17.4    1.2    1.2   358   13.7    0.3    1.8    0.00   997.71    58   17.9    0.5   12.4   16.3   13.0   12.1   11.8    -995    -995    -995
 VALL   140    15     30   17.4    1.0    1.0     3   12.2    0.3    2.1    0.00  1008.93    48   18.6    0.2   16.1   18.6   17.2   15.0   14.2    -995    -995    -995
 VINI    97    15     44   13.4    2.3    2.3   120    5.0    0.1    2.6    0.00   994.57    40   15.1    1.2   13.1   15.1   13.0   11.2   10.4    -995    -995    -995
 WAL2   136    15     31   18.6    3.1    3.1   200    3.8    0.3    3.8    0.00   984.64   103   19.9    2.0   13.7   22.4   14.5   13.1   12.5    -995    -995    -995
 WASH    99    15     27   18.5    1.6    1.6   117    6.3    0.3    2.2    0.00   981.94    86   19.0    0.8   15.1   18.3   17.1   14.2   12.9    -995    -995    -995
 WATO   100    15     38   16.9    4.4    4.4   187    5.4    0.5    5.9    0.00   961.32   103   17.5    3.0   15.6   19.0   16.8   12.1   11.1    -995    -995    -995
 WAUR   101    15     24   20.2    1.2    1.2    71    5.5    0.1    1.6    0.00   989.32    95   20.6    0.3   17.8   21.5   17.5   15.5   14.2    -995    -995    -995
 WEAT   102    15     42   16.3    4.2    4.2   172    5.3    0.5    5.5    0.00   958.95   108   17.1    2.6   17.3   17.5   17.8   12.7   -998    -995    -995    -995
 WEBR   132    15     48   14.4   -999   -999  -999   -999   -999   -999    0.00  1005.91  -999   16.5   -999   13.9   16.2   14.1   12.9   12.3    -995    -995    -995
 WEST   104    15     35   13.2    2.3    2.3   356    8.2    0.3    3.4    0.00   982.08    45   14.4    1.7   13.0   14.8   13.8   12.8   -998    -995    -995    -995
 WILB   105    15     37   15.5    3.1    3.1    31    6.0    0.4    4.0    0.00   999.60    59   16.6    1.8   16.2   16.8   17.6   14.8   13.5    -995    -995    -995
 WIST   106    15     32   15.5    1.8    1.8   308    7.8    0.3    2.4    0.00  1006.22    44   16.6    1.3   13.5   17.6   13.7   12.1   11.7    -995    -995    -995
 WOOD   107    15     22   19.9    3.9    3.8   212   10.3    0.7    5.8    0.00   947.83   123   20.2    2.7   12.8   18.5   13.4   10.9   10.2    -995    -995    -995
 WYNO   108    15     26   17.3    0.2    0.2   182   11.8    0.2    0.5    0.00   990.17    68   17.9    0.0   15.3   15.2   16.7   12.1   -998    -995    -995    -995
 YUKO   142    15     28   17.8    1.9    1.9   134    6.5    0.3    2.5    0.00   974.53    92   18.0    1.2   12.9   19.2   12.8   12.6   11.2    -995    -995    -995
