  21 2021 03 29 00 00 00
 STID  STNM  TIME   RELH   TAIR   WSPD   WVEC  WDIR   WDSD   WSSD   WMAX    RAIN     PRES  SRAD   TA9M   WS2M   TS10   TB10   TS05   TS25   TS60    TR05    TR25    TR60
 ERIC    35     0   -996   -996   -996   -996  -996   -996   -996   -996    -996     -996  -996   -996   -996   -996   -996   -996   -996   -996    -996    -996    -996
 EUFA    36     0     33   16.5    2.2    2.2    71    7.4    0.4    2.9    0.00   999.23   118   17.2    1.3   14.9   19.7   15.6   13.4   12.7    1.44    1.36    1.33
 EVAX   141     0     20   20.5    7.6    7.5   203    9.0    1.3   10.8    0.00   896.41   209   20.3    5.0   12.8   14.0   11.6    8.4    7.9    1.86    4.02    3.92
 FAIR    37     0     39   18.0    5.3    5.3   140    7.4    1.0    7.6    0.00   973.30   151   18.1    4.1   13.4   19.1   13.1   12.4   11.1    1.38    1.43    1.40
 FITT   127     0     27   17.8    2.6    2.6    42    7.7    0.4    3.5    0.25   981.46   138   18.4    1.8   16.5   17.0   17.1   14.0   13.0    1.80    1.50    1.46
 FORA    38     0     32   16.5    3.1    3.1   210    6.2    0.6    4.2    0.00   982.99   127   16.7    2.5   14.2   15.8   15.1   11.6   10.8    1.33    1.44    1.42
 FREE    39     0     31   19.5    4.5    4.4   204    5.7    0.4    5.6    0.00   957.98   163   20.1    3.0   15.3   14.8   15.7   10.5   10.2    1.67    -999    1.38
 FTCB    40     0     26   19.5    2.5    2.4   236   13.6    0.5    4.2    0.00   972.88   160   19.5    1.9   17.1   21.7   19.1   14.1   12.4    1.40    1.58    1.74
 GOOD    41     0     21   20.3    9.0    8.9   213    9.5    1.3   11.6    0.00   904.14   212   20.5    6.2   11.9   17.2   12.5    8.6    8.4    1.93    1.68    2.24
 GRA2   117     0     32   20.2    2.5    2.4   169    5.9    0.3    3.2    0.00   982.56   148   20.4    1.7   15.8   20.5   15.8   13.6   13.2    1.70    1.35    1.38
 GUTH    43     0     25   18.5    1.2    1.2   224    7.4    0.2    1.6    0.00   983.06   142   18.8    0.7   15.0   18.8   17.2   13.2   -998    1.54    1.48    -998
 HASK    44     0     36   16.5    1.3    1.3    97    9.0    0.2    1.7    0.00  1001.11   119   17.1    0.4   12.3   17.0   13.4   11.7   11.2    1.54    1.48    1.40
 HECT   113     0     29   17.1    1.6    1.5    81    6.6    0.3    2.3    0.00   993.81   122   17.3    0.3   15.2   17.3   14.6   12.9   12.3    1.47    1.46    1.39
 HINT    45     0     32   18.0    3.4    3.3   214    7.6    0.4    4.2    0.00   964.49   161   18.0    2.2   17.9   20.2   20.4   13.6   11.8    1.57    1.90    1.71
 HOBA    46     0     32   19.1    4.2    4.2   195    6.9    0.5    5.5    0.00   967.01   163   19.0    3.3   13.8   19.9   15.9   12.5   11.6    1.59    1.40    1.44
 HOLD   134     0     29   17.8    1.3    1.3    84    9.7    0.2    1.8    0.51   989.48   128   18.3    0.8   14.3   17.0   15.3   13.1   12.1    1.41    1.36    1.48
