STID,NAME,ST,LAT,LON,YR,MO,DA,HR,MI,TAIR,TDEW,RELH,CHIL,HEAT,WDIR,WSPD,WMAX,PRES,TMAX,TMIN,RAIN
HOLL,Hollis,OK,34.69,-99.83,2021,3,28,23,35,49,36,60,45, ,SSE,9,11,1021.29,71,36, 
HOOK,Hooker,OK,36.86,-101.23,2021,3,28,23,35,46,33,59,41, ,S,13,15,1016.44,69,28, 
HUGO,Hugo,OK,34.03,-95.54,2021,3,28,23,35,52,33,48, , ,S,2,2,1024.34,69,48, 
IDAB,Idabel,OK,33.83,-94.88,2021,3,28,23,35,42,39,90, , ,W,0,1,1024.44,68,42, 
INOL,Inola,OK,36.14,-95.45,2021,3,28,23,35,42,34,74,37, ,SSE,9,10,1023.29,64,41, 
JAYX,Jay,OK,36.48,-94.78,2021,3,28,23,35,46,30,55,42, ,S,7,9,1023.55,60,41, 
KENT,Kenton,OK,36.83,-102.88,2021,3,28,23,35,46,24,43,41, ,SSW,9,10,1016.43,72,27, 
KETC,Ketchum Ranch,OK,34.53,-97.76,2021,3,28,23,35,52,34,49, , ,SSE,10,13,1022.91,70,41, 
KIN2,Kingfisher,OK,35.85,-97.95,2021,3,28,23,35,50,37,62,45, ,SSE,11,14,1020.69,68,38, 
LAHO,Lahoma,OK,36.38,-98.11,2021,3,28,23,35,51,36,57, , ,S,13,16,1019.82,68,36, 
LANE,Lane,OK,34.31,-96.00,2021,3,28,23,35,41,38,88, , ,SE,1,2,1024.28,68,41, 
MADI,Madill,OK,34.04,-96.94,2021,3,28,23,35,49,37,63,48, ,SSE,4,5,1023.79,70,46, 
MANG,Mangum,OK,34.84,-99.42,2021,3,28,23,35,46,38,73,42, ,SSE,8,10,1021.62,72,34, 
MARE,Marena,OK,36.06,-97.21,2021,3,28,23,35,49,33,54,46, ,SSE,8,9,1021.24,68,37, 
MAYR,May Ranch,OK,36.99,-99.01,2021,3,28,23,35,52,35,52, , ,SSW,15,21,1018.32,70,35, 
MCAL,McAlester,OK,34.88,-95.78,2021,3,28,23,35,44,36,73, , ,E,1,2,1024.14,66,44, 
MEDF,Medford,OK,36.79,-97.75,2021,3,28,23,35,44,38,79,41, ,SE,6,6,1020.08,66,32, 
MEDI,Medicine Park,OK,34.73,-98.57,2021,3,28,23,35,58,35,42, , ,S,14,18,1022.02,70,46, 
MIAM,Miami,OK,36.89,-94.84,2021,3,28,23,35,46,33,60,42, ,SSE,8,12,1022.65,60,41, 
MINC,Minco,OK,35.27,-97.96,2021,3,28,23,35,49,36,60,43, ,S,14,15,1021.78,68,40, 
MRSH,Marshall,OK,36.12,-97.61,2021,3,28,23,35,51,35,53, , ,SSE,8,11,1020.47,66,35, 
MTHE,Mt Herman,OK,34.31,-94.82,2021,3,28,23,35,41,35,77, , ,ENE,2,3,1024.24,66,40, 
NEWK,Newkirk,OK,36.90,-96.91,2021,3,28,23,35, , , , , , , , , , , , 
NEWP,Newport,OK,34.23,-97.20,2021,3,28,23,35,50,35,56, , ,S,10,11,1023.55,69,44, 
NOWA,Nowata,OK,36.74,-95.61,2021,3,28,23,35,49,36,59,46, ,SSE,7,9,1022.38,64,35, 
NRMN,Norman,OK,35.24,-97.46,2021,3,28,23,35,54,32,43, , ,SSE,9,14,1022.42,68,40, 
OILT,Oilton,OK,36.03,-96.50,2021,3,28,23,35,52,32,47, , ,SSE,11,14,1021.90,66,34, 
OKCE,Oklahoma City East,OK,35.47,-97.46,2021,3,28,23,35,55,32,42, , ,SSE,5,8,1021.89,68,42, 
OKEM,Okemah,OK,35.43,-96.26,2021,3,28,23,35,49,32,51,47, ,SSE,5,7,1023.27,67,42, 
OKMU,Okmulgee,OK,35.58,-95.91,2021,3,28,23,35,42,35,75,41, ,SSE,3,4,1023.60,67,41, 
PAUL,Pauls Valley,OK,34.72,-97.23,2021,3,28,23,35,48,38,67,46, ,SSE,5,7,1023.30,69,42, 
PAWN,Pawnee,OK,36.36,-96.77,2021,3,28,23,35,49, , ,45, ,SE,8,9,1021.77,66,37, 
PERK,Perkins,OK,36.00,-97.05,2021,3,28,23,35,52,35,52, , ,SSE,11,13,1021.61,68,39, 
PORT,Porter,OK,35.83,-95.56,2021,3,28,23,35,47,33,60,44, ,SE,6,7,1023.50,66,42, 
PRYO,Pryor,OK,36.37,-95.27,2021,3,28,23,35,43,35,73,38, ,SE,8,10,1023.11,63,40, 
PUTN,Putnam,OK,35.90,-98.96,2021,3,28,23,35,51,36,57, , ,S,16,21,1020.15,68,35, 
REDR,Red Rock,OK,36.36,-97.15,2021,3,28,23,35,50,34,55,46, ,SE,9,12,1021.00,66,35, 
RING,Ringling,OK,34.19,-97.59,2021,3,28,23,35,47,37,67,43, ,SSE,9,10,1023.39,71,41, 
SALL,Sallisaw,OK,35.44,-94.80,2021,3,28,23,35,42,38,84, , ,ENE,2,3,1024.18,65,42, 
SEIL,Seiling,OK,36.19,-99.04,2021,3,28,23,35,53,35,51, , ,SSW,13,17,1019.44,71,36, 
SEMI,Seminole,OK,35.18,-96.70,2021,3,28,23,35,52,34,50, , ,S,7,9,1023.08,68,45, 
SHAW,Shawnee,OK,35.36,-96.95,2021,3,28,23,35,51,34,51, , ,S,8,11,1022.64,67,41, 
SKIA,Skiatook,OK,36.42,-96.04,2021,3,28,23,35,52,32,47, , ,S,8,11,1022.15,65,42, 
SLAP,Slapout,OK,36.60,-100.26,2021,3,28,23,35,53,31,43, , ,S,19,23,1018.13,71,36, 
SPEN,Spencer,OK,35.54,-97.34,2021,3,28,23,35,54,31,42, , ,S,10,14,1021.74,68,38, 
STIG,Stigler,OK,35.27,-95.18,2021,3,28,23,35,47,34,60, , ,E,1,1,1024.06,64,45, 
STIL,Stillwater,OK,36.12,-97.10,2021,3,28,23,35,54,32,44, , ,SSE,6,9,1021.47,68,37, 
STUA,Stuart,OK,34.88,-96.07,2021,3,28,23,35,50,31,48, , ,S,2,3,1023.90,67,44, 
SULP,Sulphur,OK,34.57,-96.95,2021,3,28,23,35,51,34,52, , ,SSE,5,7,1023.65,70,41, 
TAHL,Tahlequah,OK,35.97,-94.99,2021,3,28,23,35,45,30,56,42, ,ESE,6,6,1024.04,62,41, 
TALA,Talala,OK,36.57,-95.75,2021,3,28,23,35,48,36,63,43, ,SSE,11,13,1022.55,65,39, 
TALI,Talihina,OK,34.71,-95.01,2021,3,28,23,35,38,36,91, , ,N,1,2,1024.56,68,38, 
TIPT,Tipton,OK,34.44,-99.14,2021,3,28,23,35,54,38,55, , ,SSE,13,15,1022.10,70,35, 
TISH,Tishomingo,OK,34.33,-96.68,2021,3,28,23,35,46,40,79, , ,SE,1,2,1023.83,68,44, 
TULN,Tulsa,OK,36.20,-95.94,2021,3,28,23,35,54,29,38, , ,SSE,7,10,1022.75,66,43, 
VALL,Valliant,OK,33.94,-95.11,2021,3,28,23,35,40,37,89, , ,NNW,0,0,1024.37,69,40, 
VINI,Vinita,OK,36.78,-95.22,2021,3,28,23,35,44,34,66,41, ,S,5,7,1022.77,62,37, 
WAL2,Walters,OK,34.40,-98.35,2021,3,28,23,35,53,38,56, , ,S,15,17,1022.61,72,40, 
WASH,Washington,OK,34.98,-97.52,2021,3,28,23,35,49,35,59,46, ,SSE,7,10,1022.80,70,43, 
