  21 2021 03 29 00 00 00
 STID  STNM  TIME   RELH   TAIR   WSPD   WVEC  WDIR   WDSD   WSSD   WMAX    RAIN     PRES  SRAD   TA9M   WS2M   TS10   TB10   TS05   TS25   TS60    TR05    TR25    TR60
 ACME   110     5     29   18.9    2.0    2.0   114    8.1    0.3    2.6    0.00   975.94   131   19.4    1.4   -995   -995   -995   -995   -995    -995    -995    -995
 ADAX     1     5     26   18.4    0.8    0.8   348    6.4    0.2    1.0    0.00   987.78   104   18.8    0.0   -995   -995   -995   -995   -995    -995    -995    -995
 ALTU     2     5     30   19.4    2.6    2.6   141    6.4    0.3    3.3    0.00   973.67   152   19.7    1.5   -995   -995   -995   -995   -995    -995    -995    -995
 ALV2   116     5     33   19.3    4.3    4.2   156    7.4    0.6    6.0    0.00   968.33   139   19.1    3.6   -995   -995   -995   -995   -995    -995    -995    -995
 ANT2   135     5     28   18.0    1.5    1.4    25   15.7    0.4    2.3    0.00  1002.78    84   18.3    0.6   -995   -995   -995   -995   -995    -995    -995    -995
 APAC   111     5     27   18.8    2.7    2.7   195    6.6    0.3    3.2    0.00   970.73   135   19.2    1.8   -995   -995   -995   -995   -995    -995    -995    -995
 ARD2   126     5     32   19.0    2.2    2.2    88    6.0    0.3    2.7    0.00   991.04   120   19.7    1.2   -995   -995   -995   -995   -995    -995    -995    -995
 ARNE     6     5     20   20.4    5.6    5.5   200   12.9    1.5    8.6    0.00   937.10   159   20.3    4.1   -995   -995   -995   -995   -995    -995    -995    -995
 BEAV     8     5     21   20.7    7.6    7.5   218    6.4    0.9    9.3    0.00   930.99   166   20.6    5.1   -995   -995   -995   -995   -995    -995    -995    -995
 BESS     9     5     31   18.7    5.0    5.0   186    6.0    0.6    6.5    0.00   961.97   149   18.8    3.8   -995   -995   -995   -995   -995    -995    -995    -995
 BIXB    10     5     29   17.6    1.1    1.1   152   22.1    0.3    1.6    0.00  1000.72   104   18.0    0.1   -995   -995   -995   -995   -995    -995    -995    -995
 BLAC    11     5     35   16.9    2.7    2.6   189    7.9    0.5    4.2    0.00   985.73   120   17.3    2.2   -995   -995   -995   -995   -995    -995    -995    -995
 BOIS    12     5     20   20.4    9.0    9.0   204    5.8    0.9   11.1    0.00   874.69   223   20.2    7.3   -995   -995   -995   -995   -995    -995    -995    -995
 BREC    14     5     39   16.9    2.9    2.8   160    8.7    0.5    3.8    0.00   980.15   121   17.4    1.7   -995   -995   -995   -995   -995    -995    -995    -995
 BRIS    15     5     22   18.4    0.3    0.3   318    7.7    0.2    0.7    0.00   993.97    72   19.0    0.0   -995   -995   -995   -995   -995    -995    -995    -995
 BROK   124     5     26   18.1    0.8    0.8   359   14.5    0.3    1.3    0.00  1009.35    79   18.5    0.0   -995   -995   -995   -995   -995    -995    -995    -995
 BUFF    16     5     24   20.5    4.6    4.5   200   10.0    1.1    7.4    0.00   954.19   157   20.5    2.4   -995   -995   -995   -995   -995    -995    -995    -995
 BURB    17     5   -996   -996   -996   -996  -996   -996   -996   -996    -996     -996  -996   -996   -996   -995   -995   -995   -995   -995    -995    -995    -995
 BURN    18     5     26   19.2    3.2    3.2    46    6.6    0.5    4.2    0.00   995.86   115   20.3    2.4   -995   -995   -995   -995   -995    -995    -995    -995
 BUTL    19     5     25   19.6    5.8    5.8   187    6.8    0.7    7.8    0.00   960.52   148   19.6    4.0   -995   -995   -995   -995   -995    -995    -995    -995
 BYAR    20     5     26   18.4    1.9    1.9    98   11.7    0.3    2.7    0.00   981.91   120   18.8    1.1   -995   -995   -995   -995   -995    -995    -995    -995
 CAMA    22     5     22   19.9    4.9    4.9   202    6.5    0.7    6.6    0.00   952.09   152   20.2    3.5   -995   -995   -995   -995   -995    -995    -995    -995
 CARL   131     5     23   18.6    0.8    0.7   137   19.5    0.2    1.2    0.00   987.21   124   18.9    0.3   -995   -995   -995   -995   -995    -995    -995    -995
 CENT    23     5     28   18.3    1.5    1.4    45   14.7    0.3    2.1    0.00   998.22    50   19.1    0.9   -995   -995   -995   -995   -995    -995    -995    -995
 CHAN    24     5     26   17.9    1.1    1.1    17   10.6    0.1    1.3    0.00   987.93   126   18.4    0.7   -995   -995   -995   -995   -995    -995    -995    -995
 CHER    25     5     37   18.0    4.2    4.2   139    8.2    0.5    5.5    0.00   977.87   133   18.1    3.6   -995   -995   -995   -995   -995    -995    -995    -995
 CHEY    26     5     24   18.6    5.5    5.5   189    8.2    1.0    7.9    0.00   940.90   156   18.9    4.7   -995   -995   -995   -995   -995    -995    -995    -995
 CHIC    27     5     31   18.7    1.6    1.6   142    7.1    0.2    1.9    0.00   983.72   132   19.7    0.0   -995   -995   -995   -995   -995    -995    -995    -995
 CLAY    29     5     26   17.3    1.4    1.3     8   12.3    0.3    2.1    0.00  1001.08    95   17.6    0.9   -995   -995   -995   -995   -995    -995    -995    -995
 CLOU    30     5     28   16.7    1.8    1.7   322   18.0    0.4    2.8    0.00   997.15    91   17.3    1.6   -995   -995   -995   -995   -995    -995    -995    -995
 COOK    31     5     27   15.3    2.0    2.0   317   12.9    0.6    3.7    0.00   987.48    86   15.6    1.2   -995   -995   -995   -995   -995    -995    -995    -995
 COPA    32     5     32   16.8    1.0    1.0   201    4.0    0.2    1.3    0.00   992.28    96   17.5    0.2   -995   -995   -995   -995   -995    -995    -995    -995
 DURA    33     5     32   18.1    1.5    1.5    37   13.5    0.2    2.1    0.00   999.70   103   18.7    1.1   -995   -995   -995   -995   -995    -995    -995    -995
 ELKC   139     5     27   18.8    6.2    6.1   184    4.8    0.7    7.8    0.00   953.36   156   18.7    4.6   -995   -995   -995   -995   -995    -995    -995    -995
 ELRE    34     5     31   17.9    3.3    3.3   143    5.9    0.4    4.0    0.00   972.98   131   18.0    2.2   -995   -995   -995   -995   -995    -995    -995    -995
 ERIC    35     5   -996   -996   -996   -996  -996   -996   -996   -996    -996     -996  -996   -996   -996   -995   -995   -995   -995   -995    -995    -995    -995
 EUFA    36     5     34   16.4    2.0    1.9    84   11.5    0.3    2.6    0.00   999.19    99   17.1    1.3   -995   -995   -995   -995   -995    -995    -995    -995
 EVAX   141     5     20   20.4    7.4    7.3   208    8.6    1.4   10.3    0.00   896.37   192   20.3    4.4   -995   -995   -995   -995   -995    -995    -995    -995
 FAIR    37     5     40   17.8    5.9    5.9   139    7.2    0.9    8.1    0.00   973.27   135   18.0    4.8   -995   -995   -995   -995   -995    -995    -995    -995
 FITT   127     5     28   17.6    2.1    2.1    31    7.9    0.2    2.6    0.00   981.46   120   18.3    1.5   -995   -995   -995   -995   -995    -995    -995    -995
