  21 2021 03 29 00 00 00
 STID  STNM  TIME   RELH   TAIR   WSPD   WVEC  WDIR   WDSD   WSSD   WMAX    RAIN     PRES  SRAD   TA9M   WS2M   TS10   TB10   TS05   TS25   TS60    TR05    TR25    TR60
 BUFF    16    10     24   20.4    4.5    4.5   197   11.0    0.8    6.4    0.00   954.17   141   20.4    2.4   -995   -995   -995   -995   -995    -995    -995    -995
 BURB    17    10   -996   -996   -996   -996  -996   -996   -996   -996    -996     -996  -996   -996   -996   -995   -995   -995   -995   -995    -995    -995    -995
 BURN    18    10     27   19.0    2.6    2.5    45    8.5    0.4    3.8    0.00   995.83    97   20.2    1.9   -995   -995   -995   -995   -995    -995    -995    -995
 BUTL    19    10     25   19.4    5.4    5.4   190    7.0    0.9    7.3    0.00   960.52   134   19.5    3.6   -995   -995   -995   -995   -995    -995    -995    -995
 BYAR    20    10     26   18.4    1.8    1.7   103   10.9    0.3    2.5    0.00   981.90    98   18.7    1.1   -995   -995   -995   -995   -995    -995    -995    -995
 CAMA    22    10     22   19.8    6.2    6.2   197    7.3    0.9    8.1    0.00   952.01   135   20.2    4.4   -995   -995   -995   -995   -995    -995    -995    -995
 CARL   131    10     23   18.5    0.7    0.7   161   12.7    0.5    1.4    0.00   987.14   104   18.9    0.2   -995   -995   -995   -995   -995    -995    -995    -995
 CENT    23    10     28   17.9    2.4    2.3    64   16.6    0.4    3.6    0.00   998.21    30   19.0    1.6   -995   -995   -995   -995   -995    -995    -995    -995
 CHAN    24    10     27   17.7    0.8    0.8    15   11.2    0.2    1.1    0.00   987.91   109   18.3    0.0   -995   -995   -995   -995   -995    -995    -995    -995
 CHER    25    10     38   17.9    3.9    3.9   135   10.2    0.4    5.0    0.00   977.83   117   18.0    3.2   -995   -995   -995   -995   -995    -995    -995    -995
 CHEY    26    10     24   18.4    6.5    6.4   191    7.4    1.1    8.7    0.00   940.86   140   18.8    5.5   -995   -995   -995   -995   -995    -995    -995    -995
 CHIC    27    10     36   18.0    2.1    2.1   142    4.1    0.2    2.6    0.00   983.72   115   19.4    0.9   -995   -995   -995   -995   -995    -995    -995    -995
 CLAY    29    10     26   17.2    1.2    1.2     1   12.4    0.2    1.9    0.00  1001.08    74   17.6    0.7   -995   -995   -995   -995   -995    -995    -995    -995
 CLOU    30    10     28   16.6    1.9    1.8   316   15.5    0.5    3.0    0.00   997.16    57   17.2    1.6   -995   -995   -995   -995   -995    -995    -995    -995
 COOK    31    10     27   15.3    1.3    1.3   334   18.8    0.4    2.2    0.00   987.47    67   15.5    0.5   -995   -995   -995   -995   -995    -995    -995    -995
 COPA    32    10     32   16.8    0.1    0.1   202    0.3    0.2    0.6    0.00   992.29    77   17.7    0.0   -995   -995   -995   -995   -995    -995    -995    -995
 DURA    33    10     30   18.0    1.1    1.1    26   13.3    0.2    1.6    0.00   999.70    83   18.7    0.7   -995   -995   -995   -995   -995    -995    -995    -995
 ELKC   139    10     28   18.6    5.5    5.5   187    5.7    0.7    7.2    0.00   953.36   140   18.6    4.3   -995   -995   -995   -995   -995    -995    -995    -995
 ELRE    34    10     34   17.5    2.7    2.7   143    4.8    0.3    3.2    0.00   972.97   114   17.7    1.6   -995   -995   -995   -995   -995    -995    -995    -995
 ERIC    35    10   -996   -996   -996   -996  -996   -996   -996   -996    -996     -996  -996   -996   -996   -995   -995   -995   -995   -995    -995    -995    -995
 EUFA    36    10     34   16.4    2.3    2.2   100    9.6    0.3    3.0    0.00   999.16    79   16.9    1.6   -995   -995   -995   -995   -995    -995    -995    -995
 EVAX   141    10     21   20.1    6.8    6.8   204    8.1    1.0    9.7    0.00   896.29   155   20.1    4.4   -995   -995   -995   -995   -995    -995    -995    -995
 FAIR    37    10     40   17.6    5.7    5.7   137    7.7    0.7    7.2    0.00   973.22   118   17.8    4.3   -995   -995   -995   -995   -995    -995    -995    -995
 FITT   127    10     26   17.7    1.9    1.9    39    9.8    0.3    2.6    0.00   981.46    99   18.3    1.4   -995   -995   -995   -995   -995    -995    -995    -995
 FORA    38    10     32   16.3    2.7    2.7   219    6.0    0.5    3.7    0.00   982.91    91   16.6    2.0   -995   -995   -995   -995   -995    -995    -995    -995
 FREE    39    10     37   18.8    3.8    3.8   202    4.0    0.3    4.5    0.00   957.90   130   19.6    2.3   -995   -995   -995   -995   -995    -995    -995    -995
 FTCB    40    10     31   18.6    2.9    2.9   220    9.1    0.6    4.1    0.00   972.82   127   19.0    1.8   -995   -995   -995   -995   -995    -995    -995    -995
 GOOD    41    10     22   19.8    7.3    7.2   216    6.4    1.2    9.9    0.00   904.07   160   20.2    5.1   -995   -995   -995   -995   -995    -995    -995    -995
 GRA2   117    10     35   19.6    2.1    2.1   174    3.9    0.3    2.7    0.00   982.58   128   20.1    1.3   -995   -995   -995   -995   -995    -995    -995    -995
 GUTH    43    10     26   18.2    0.9    0.9   218    8.0    0.3    1.3    0.00   983.09   106   18.7    0.3   -995   -995   -995   -995   -995    -995    -995    -995
 HASK    44    10     36   16.2    1.3    1.3   102    9.9    0.2    1.7    0.00  1001.04    80   17.1    0.7   -995   -995   -995   -995   -995    -995    -995    -995
 HECT   113    10     28   17.2    1.4    1.4    95   11.8    0.3    1.9    0.00   993.77    83   17.2    0.1   -995   -995   -995   -995   -995    -995    -995    -995
 HINT    45    10     34   17.5    2.8    2.8   207    5.2    0.3    3.5    0.00   964.47   123   17.8    1.7   -995   -995   -995   -995   -995    -995    -995    -995
 HOBA    46    10     33   18.6    4.4    4.4   196    6.0    0.4    5.4    0.00   966.99   130   18.6    3.4   -995   -995   -995   -995   -995    -995    -995    -995
 HOLD   134    10     36   16.7    1.6    1.6    91    2.4    0.1    1.7    0.00   989.53    88   18.1    1.0   -995   -995   -995   -995   -995    -995    -995    -995
 HOLL    47    10     27   19.7    3.4    3.4   185   10.3    0.8    5.1    0.00   963.78   137   20.1    2.6   -995   -995   -995   -995   -995    -995    -995    -995
 HOOK    48    10     25   19.6    6.8    6.8   202    6.6    0.9    8.6    0.00   913.60   156   19.8    5.2   -995   -995   -995   -995   -995    -995    -995    -995
 HUGO    49    10     31   16.8    2.0    1.9    43   12.1    0.6    3.5    0.00  1002.52    64   17.6    0.5   -995   -995   -995   -995   -995    -995    -995    -995
 IDAB    50    10     34   16.8    2.5    2.4     2   14.2    0.5    3.4    0.00  1010.06    65   18.5    1.6   -995   -995   -995   -995   -995    -995    -995    -995
 INOL   120    10     48   14.0    2.7    2.7    98    4.2    0.3    3.3    0.00  1000.34    70   15.9    1.7   -995   -995   -995   -995   -995    -995    -995    -995
 JAYX    51    10     33   13.9    1.3    1.2    11   15.0    0.3    2.1    0.00   987.15    58   14.3    0.7   -995   -995   -995   -995   -995    -995    -995    -995
 KENT    52    10     19   21.0    9.6    9.5   204    6.3    1.2   11.7    0.00   868.22   188   21.0    7.1   -995   -995   -995   -995   -995    -995    -995    -995
 KETC    53    10     22   19.8    0.2    0.2    69    2.5    0.3    1.0    0.00   982.21   110   20.1    0.1   -995   -995   -995   -995   -995    -995    -995    -995
 KIN2   133    10     34   17.7    3.5    3.4   136    4.2    0.2    4.0    0.00   983.84   109   18.1    2.2   -995   -995   -995   -995   -995    -995    -995    -995
 LAHO    55    10     43   16.3    4.8    4.8   152    4.6    0.4    6.0    0.00   974.64   110   16.6    3.5   -995   -995   -995   -995   -995    -995    -995    -995
 LANE    56    10     27   18.4    1.0    1.0    65   19.5    0.2    1.4    0.00  1001.52    80   18.9    0.3   -995   -995   -995   -995   -995    -995    -995    -995
 MADI    57    10     26   19.2    2.2    2.1    75   12.6    0.5    3.1    0.00   995.00   101   19.9    1.4   -995   -995   -995   -995   -995    -995    -995    -995
 MANG    58    10     26   19.2    3.5    3.5   178    7.8    0.7    4.8    0.00   968.35   136   19.5    2.4   -995   -995   -995   -995   -995    -995    -995    -995
 MARE    59    10     24   18.3    0.6    0.5   355   16.6    0.2    0.9    0.00   983.40   104   18.5    0.0   -995   -995   -995   -995   -995    -995    -995    -995
 MAYR    61    10     22   20.0    6.5    6.5   221    6.9    1.0    8.8    0.00   955.00   132   20.0    4.1   -995   -995   -995   -995   -995    -995    -995    -995
 MCAL    62    10     29   16.9    1.9    1.9    76   15.5    0.6    3.0    0.00   995.92    76   17.2    0.3   -995   -995   -995   -995   -995    -995    -995    -995
 MEDF    63    10     44   16.8    3.3    3.2   158   10.4    0.5    4.3    0.00   981.92   110   17.0    2.4   -995   -995   -995   -995   -995    -995    -995    -995
 MEDI    64    10     25   19.5    1.7    1.7   166    8.4    0.3    2.4    0.00   965.13   128   19.7    1.2   -995   -995   -995   -995   -995    -995    -995    -995
 MIAM    65    10     42   13.8    1.7    1.6    69   12.7    0.3    2.3    0.00   993.45    58   14.6    0.9   -995   -995   -995   -995   -995    -995    -995    -995
 MINC    66    10     30   17.8    2.6    2.6   138    5.1    0.5    3.8    0.00   971.86    32   18.1    2.0   -995   -995   -995   -995   -995    -995    -995    -995
 MRSH   125    10     31   17.9    1.5    1.5   138    8.8    0.2    2.0    0.00   985.08   107   18.2    1.0   -995   -995   -995   -995   -995    -995    -995    -995
 MTHE    67    10     31   15.3    0.9    0.8   306   29.1    0.6    2.7    0.00   989.63    22   16.0    0.1   -995   -995   -995   -995   -995    -995    -995    -995
 NEWK    68    10   -996   -996   -996   -996  -996   -996   -996   -996    -996     -996  -996   -996   -996   -995   -995   -995   -995   -995    -995    -995    -995
 NEWP   123    10     24   19.2    0.9    0.9    77   15.9    0.2    1.3    0.00   989.00    81   19.6    0.1   -995   -995   -995   -995   -995    -995    -995    -995
 NOWA    70    10     42   15.0    3.1    3.0   162    6.3    0.2    3.6    0.00   997.78    65   16.0    2.0   -995   -995   -995   -995   -995    -995    -995    -995
 NRMN   121    10     23   18.7    0.6    0.6   254    4.5    0.1    0.9    0.00   980.44   107   19.8    0.0   -995   -995   -995   -995   -995    -995    -995    -995
 OILT    71    10     27   17.8    0.4    0.4   317    8.8    0.1    0.6    0.00   991.96    77   18.5    0.0   -995   -995   -995   -995   -995    -995    -995    -995
 OKCE   130    10     23   18.8    0.3    0.3   170   34.8    0.3    0.9    0.00   980.33   114   19.5    0.0   -995   -995   -995   -995   -995    -995    -995    -995
 OKEM    72    10     30   17.5    0.6    0.6   110    5.8    0.1    0.9    0.00   991.49    85   18.1    0.0   -995   -995   -995   -995   -995    -995    -995    -995
 OKMU    73    10     40   15.6    2.2    2.1    92    7.2    0.2    2.9    0.00   998.56    89   17.0    1.5   -995   -995   -995   -995   -995    -995    -995    -995
 PAUL    74    10     24   19.6    1.0    1.0   166   12.3    0.6    1.9    0.00   988.17   104   19.9    0.0   -995   -995   -995   -995   -995    -995    -995    -995
 PAWN    75    10   -999   17.5    1.0    0.9   257   12.9    0.2    1.3    0.00   988.90    98   17.9    0.3   -995   -995   -995   -995   -995    -995    -995    -995
 PERK    76    10     28   18.0    1.2    1.2   115   15.0    0.4    2.1    0.00   987.52    99   18.6    0.7   -995   -995   -995   -995   -995    -995    -995    -995
 PORT   118    10     33   16.2    2.2    2.1   112    8.8    0.2    2.6    0.00   999.96    76   17.0    1.5   -995   -995   -995   -995   -995    -995    -995    -995
 PRYO    77    10     47   14.5    1.6    1.6   122    5.3    0.1    1.8    0.00   998.86    61   15.8    0.4   -995   -995   -995   -995   -995    -995    -995    -995
 PUTN    78    10     31   17.9    5.0    5.0   177    6.7    0.6    6.3    0.00   952.62   132   18.0    3.8   -995   -995   -995   -995   -995    -995    -995    -995
 REDR    79    10     30   17.4    1.0    1.0   149   12.3    0.3    1.3    0.00   987.20   103   18.1    0.5   -995   -995   -995   -995   -995    -995    -995    -995
 RING    81    10     37   18.9    2.6    2.6   115    6.7    0.3    3.1    0.00   989.08   113   19.9    1.8   -995   -995   -995   -995   -995    -995    -995    -995
 SALL    82    10     29   16.7    1.4    1.3   331   12.9    0.5    2.5    0.00  1004.37    66   17.1    0.7   -995   -995   -995   -995   -995    -995    -995    -995
 SEIL    83    10     24   19.6    3.9    3.9   177    9.9    0.7    5.5    0.00   956.94   130   19.5    3.2   -995   -995   -995   -995   -995    -995    -995    -995
 SEMI   143    10     24   18.5    0.8    0.7    64   14.5    0.1    1.0    0.00   988.21    98   18.8    0.1   -995   -995   -995   -995   -995    -995    -995    -995
 SHAW    84    10     25   18.5    0.6    0.6   167    6.4    0.1    0.7    0.00   983.76   102   19.0    0.0   -995   -995   -995   -995   -995    -995    -995    -995
 SKIA    85    10     26   17.0    0.2    0.2   123    8.4    0.4    1.2    0.00   988.72    74   17.7    0.2   -995   -995   -995   -995   -995    -995    -995    -995
 SLAP    86    10     22   20.2    6.6    6.6   193    6.8    1.0    8.8    0.00   929.74   147   20.1    4.7   -995   -995   -995   -995   -995    -995    -995    -995
 SPEN    87    10     23   18.6    0.6    0.6   203    6.4    0.1    0.8    0.00   978.13   106   19.1    0.0   -995   -995   -995   -995   -995    -995    -995    -995
 STIG    88    10     32   15.3    2.1    2.1    19    4.6    0.3    2.9    0.00  1002.57    70   16.5    1.3   -995   -995   -995   -995   -995    -995    -995    -995
 STIL    89    10     21   18.7    0.0    0.0     0    0.0    0.0    0.0    0.00   989.90   100   19.9    0.0   -995   -995   -995   -995   -995    -995    -995    -995
 STUA    90    10     31   16.6    3.2    3.2    56    4.5    0.3    3.8    0.00   992.51    86   17.9    2.1   -995   -995   -995   -995   -995    -995    -995    -995
 SULP    91    10     26   18.2    2.7    2.7   110    5.3    0.4    3.6    0.00   985.04   102   18.8    1.9   -995   -995   -995   -995   -995    -995    -995    -995
 TAHL    92    10     31   14.7    1.1    1.0   341   21.3    0.4    1.8    0.00   988.89    66   15.1    0.4   -995   -995   -995   -995   -995    -995    -995    -995
 TALA   138    10     46   15.6    2.8    2.8   153    4.7    0.3    3.9    0.00   995.40    74   16.0    1.9   -995   -995   -995   -995   -995    -995    -995    -995
 TALI    93    10     27   16.1    2.6    2.5    25    7.7    0.5    3.4    0.00   999.08    68   16.6    1.2   -995   -995   -995   -995   -995    -995    -995    -995
 TIPT    94    10     36   19.1    0.8    0.8    98    4.2    0.1    1.1    0.00   977.18   136   19.9    0.0   -995   -995   -995   -995   -995    -995    -995    -995
 TISH    95    10     30   18.2    2.1    2.1    91    9.5    0.4    2.9    0.00   990.98    95   18.9    1.3   -995   -995   -995   -995   -995    -995    -995    -995
 TULN   137    10     26   17.4    0.8    0.7    35   11.9    0.2    1.1    0.00   997.75    70   17.9    0.0   -995   -995   -995   -995   -995    -995    -995    -995
 VALL   140    10     30   17.6    1.2    1.2     0   17.8    0.3    2.0    0.00  1008.90    64   18.7    0.3   -995   -995   -995   -995   -995    -995    -995    -995
 VINI    97    10     42   14.0    2.4    2.3   119    3.7    0.1    2.6    0.00   994.56    54   15.4    0.9   -995   -995   -995   -995   -995    -995    -995    -995
 WAL2   136    10     29   19.0    3.5    3.4   197    3.6    0.3    4.0    0.00   984.66   122   20.0    2.3   -995   -995   -995   -995   -995    -995    -995    -995
 WASH    99    10     26   18.8    1.7    1.7   124    5.1    0.2    2.0    0.00   981.96   107   19.1    0.9   -995   -995   -995   -995   -995    -995    -995    -995
 WATO   100    10     36   17.3    4.6    4.6   188    5.5    0.4    5.7    0.00   961.35   122   17.8    3.3   -995   -995   -995   -995   -995    -995    -995    -995
 WAUR   101    10     23   20.6    1.3    1.3    67    8.7    0.5    2.0    0.00   989.31   115   20.9    0.6   -995   -995   -995   -995   -995    -995    -995    -995
 WEAT   102    10     40   16.6    4.2    4.2   173    4.8    0.5    5.6    0.00   958.96   127   17.4    2.6   -995   -995   -995   -995   -995    -995    -995    -995
 WEBR   132    10     49   14.4   -999   -999  -999   -999   -999   -999    0.00  1005.86  -999   16.5   -999   -995   -995   -995   -995   -995    -995    -995    -995
 WEST   104    10     34   13.5    2.3    2.3   350    9.0    0.4    3.1    0.00   982.07    62   14.6    1.7   -995   -995   -995   -995   -995    -995    -995    -995
 WILB   105    10     37   15.8    2.9    2.9    33    5.2    0.4    3.8    0.00   999.54    78   16.8    1.8   -995   -995   -995   -995   -995    -995    -995    -995
 WIST   106    10     30   16.0    2.1    2.0   303    9.2    0.3    2.9    0.00  1006.19    63   16.8    1.3   -995   -995   -995   -995   -995    -995    -995    -995
 WOOD   107    10     21   20.1    5.4    5.4   223    8.4    0.8    7.3    0.00   947.84   139   20.3    4.0   -995   -995   -995   -995   -995    -995    -995    -995
 WYNO   108    10     26   17.5    0.5    0.5   137   13.8    0.2    0.8    0.00   990.14    86   17.9    0.0   -995   -995   -995   -995   -995    -995    -995    -995
 YUKO   142    10     27   18.0    1.8    1.8   124    9.7    0.4    2.6    0.00   974.55   113   18.2    1.1   -995   -995   -995   -995   -995    -995    -995    -995
