  21 2021 03 29 00 00 00
 STID  STNM  TIME   RELH   TAIR   WSPD   WVEC  WDIR   WDSD   WSSD   WMAX    RAIN     PRES  SRAD   TA9M   WS2M   TS10   TB10   TS05   TS25   TS60    TR05    TR25    TR60
 ACME   110    10     29   18.7    2.0    1.9   119   12.9    0.3    2.7    0.00   975.94   115   19.3    1.4   -995   -995   -995   -995   -995    -995    -995    -995
 ADAX     1    10     27   18.1    1.0    1.0    17   14.6    0.2    1.5    0.00   987.76    76   18.5    0.0   -995   -995   -995   -995   -995    -995    -995    -995
 ALTU     2    10     31   19.0    2.5    2.5   123    3.6    0.2    2.8    0.00   973.64   136   19.6    1.3   -995   -995   -995   -995   -995    -995    -995    -995
 ALV2   116    10     33   19.1    3.6    3.6   148    9.6    0.6    5.0    0.00   968.34   123   19.0    2.9   -995   -995   -995   -995   -995    -995    -995    -995
 ANT2   135    10     28   17.8    1.3    1.3    31   10.7    0.3    2.0    0.00  1002.77    33   18.3    0.6   -995   -995   -995   -995   -995    -995    -995    -995
 APAC   111    10     28   18.5    2.4    2.4   190    3.2    0.2    2.9    0.00   970.73   118   19.1    1.4   -995   -995   -995   -995   -995    -995    -995    -995
 ARD2   126    10     35   18.5    2.5    2.5    89    6.4    0.3    3.0    0.00   991.01   100   19.6    1.2   -995   -995   -995   -995   -995    -995    -995    -995
 ARNE     6    10     20   20.2    5.0    4.9   200   12.1    1.1    7.5    0.00   937.06   143   20.2    3.5   -995   -995   -995   -995   -995    -995    -995    -995
 BEAV     8    10     21   20.6    6.9    6.8   212    6.7    1.1    9.6    0.00   930.99   149   20.6    4.6   -995   -995   -995   -995   -995    -995    -995    -995
 BESS     9    10     31   18.5    4.9    4.9   189    6.5    0.5    6.3    0.00   961.99   133   18.7    3.7   -995   -995   -995   -995   -995    -995    -995    -995
 BIXB    10    10     32   17.0    1.4    1.4   123    9.5    0.1    1.7    0.00  1000.74    55   17.8    0.7   -995   -995   -995   -995   -995    -995    -995    -995
 BLAC    11    10     37   16.5    3.3    3.2   189    7.7    0.4    4.4    0.00   985.71   102   17.0    2.5   -995   -995   -995   -995   -995    -995    -995    -995
 BOIS    12    10     20   20.2    9.3    9.2   206    8.2    1.1   11.7    0.00   874.61   195   20.2    7.3   -995   -995   -995   -995   -995    -995    -995    -995
 BREC    14    10     38   16.7    3.0    3.0   169    5.0    0.3    3.5    0.00   980.05   105   17.3    1.9   -995   -995   -995   -995   -995    -995    -995    -995
 BRIS    15    10     22   18.1    0.0    0.0     0    0.0    0.0    0.0    0.00   993.96    62   19.0    0.0   -995   -995   -995   -995   -995    -995    -995    -995
 BROK   124    10     27   17.5    1.2    1.1     2   15.4    0.3    1.8    0.00  1009.38    61   18.3    0.6   -995   -995   -995   -995   -995    -995    -995    -995
