STID,NAME,ST,LAT,LON,YR,MO,DA,HR,MI,TAIR,TDEW,RELH,CHIL,HEAT,WDIR,WSPD,WMAX,PRES,TMAX,TMIN,RAIN
HOOK,Hooker,OK,36.86,-101.23,2021,5,5,17,25,75,50,41, , ,N,9,12,1018.52,76,44,0.07
HUGO,Hugo,OK,34.03,-95.54,2021,5,5,17,25,73,45,37, , ,E,5,7,1018.67,74,44, 
IDAB,Idabel,OK,33.83,-94.88,2021,5,5,17,25,73,48,41, , ,ESE,5,7,1018.71,74,44, 
INOL,Inola,OK,36.14,-95.45,2021,5,5,17,25,70,44,40, , ,N,3,6,1020.20,71,38, 
JAYX,Jay,OK,36.48,-94.78,2021,5,5,17,25,69,37,31, , ,NNW,4,9,1020.62,70,37, 
KENT,Kenton,OK,36.83,-102.88,2021,5,5,17,25,71,34,25, , ,NNE,10,13,1019.91,75,37, 
KETC,Ketchum Ranch,OK,34.53,-97.76,2021,5,5,17,25,73,47,39, , ,SE,5,7,1018.55,74,44, 
KIN2,Kingfisher,OK,35.85,-97.95,2021,5,5,17,25,72,43,35, , ,E,5,8,1018.98,73,41, 
LAHO,Lahoma,OK,36.38,-98.11,2021,5,5,17,25,70,45,41, , ,ESE,11,14,1018.63,71,44, 
LANE,Lane,OK,34.31,-96.00,2021,5,5,17,25,73,43,33, , ,ESE,4,7,1018.66,75,40,0.01
MADI,Madill,OK,34.04,-96.94,2021,5,5,17,25,72,44,37, , ,SSE,4,6,1018.74,72,43, 
MANG,Mangum,OK,34.84,-99.42,2021,5,5,17,25,76,43,31, , ,SSE,9,13,1018.38,79,37, 
MARE,Marena,OK,36.06,-97.21,2021,5,5,17,25,69,40,34, , ,NNE,6,8,1019.54,73,43, 
MAYR,May Ranch,OK,36.99,-99.01,2021,5,5,17,25,71,40,33, , ,SE,19,25,1018.01,74,44, 
MCAL,McAlester,OK,34.88,-95.78,2021,5,5,17,25,72,44,37, , ,E,3,5,1019.32,73,40, 
MEDF,Medford,OK,36.79,-97.75,2021,5,5,17,25,68,42,39, , ,ESE,3,6,1019.52,70,38, 
MEDI,Medicine Park,OK,34.73,-98.57,2021,5,5,17,25,71,46,41, , ,S,5,8,1019.05,72,48, 
MIAM,Miami,OK,36.89,-94.84,2021,5,5,17,25,69,41,36, , ,NNW,7,9,1020.53,70,38,0.01
MINC,Minco,OK,35.27,-97.96,2021,5,5,17,25,72,42,34, , ,SSE,3,6,1019.16,73,45, 
MRSH,Marshall,OK,36.12,-97.61,2021,5,5,17,25,69,43,39, , ,NE,6,7,1019.13,71,40, 
MTHE,Mt Herman,OK,34.31,-94.82,2021,5,5,17,25,73,43,34, , ,E,1,4,1018.86,74,41, 
NEWK,Newkirk,OK,36.90,-96.91,2021,5,5,17,25,66,37,35, , ,SSW,6,7,1020.43,71,43, 
NEWP,Newport,OK,34.23,-97.20,2021,5,5,17,25,72,46,40, , ,SE,7,10,1018.70,74,46, 
NOWA,Nowata,OK,36.74,-95.61,2021,5,5,17,25,70,39,32, , ,NW,3,4,1020.20,71,35, 
NRMN,Norman,OK,35.24,-97.46,2021,5,5,17,25,73,41,32, , ,NE,5,7,1019.06,73,42, 
OILT,Oilton,OK,36.03,-96.50,2021,5,5,17,25,72,35,26, , ,E,0,2,1019.45,73,38, 
OKCE,Oklahoma City East,OK,35.47,-97.46,2021,5,5,17,25,73,38,28, , ,WNW,2,3,1018.83,75,40, 
OKEM,Okemah,OK,35.43,-96.26,2021,5,5,17,25,71,42,35, , ,NE,5,7,1019.51,73,41, 
OKMU,Okmulgee,OK,35.58,-95.91,2021,5,5,17,25,71,41,34, , ,NE,3,6,1019.92,72,39, 
PAUL,Pauls Valley,OK,34.72,-97.23,2021,5,5,17,25,74,43,33, , ,SE,2,4,1018.90,74,43, 
PAWN,Pawnee,OK,36.36,-96.77,2021,5,5,17,25,70,38,31, , ,NNE,2,3,1020.09,72,39, 
PERK,Perkins,OK,36.00,-97.05,2021,5,5,17,25,71,39,31, , ,NE,3,6,1019.52,74,41, 
PORT,Porter,OK,35.83,-95.56,2021,5,5,17,25,71,41,33, , ,W,3,5,1020.02,72,41, 
PRYO,Pryor,OK,36.37,-95.27,2021,5,5,17,25,70,39,32, , ,NNW,5,9,1020.24,71,39, 
PUTN,Putnam,OK,35.90,-98.96,2021,5,5,17,25,73,40,31, , ,S,5,11,1018.86,75,46, 
REDR,Red Rock,OK,36.36,-97.15,2021,5,5,17,25,70,40,33, , ,NE,7,9,1019.47,71,40, 
RING,Ringling,OK,34.19,-97.59,2021,5,5,17,25,72,45,38, , ,E,8,10,1018.57,74,45, 
SALL,Sallisaw,OK,35.44,-94.80,2021,5,5,17,25,70,44,38, , ,SW,2,4,1019.22,71,41, 
SEIL,Seiling,OK,36.19,-99.04,2021,5,5,17,25,75,41,29, , ,SSW,9,20,1018.03,77,38, 
SEMI,Seminole,OK,35.18,-96.70,2021,5,5,17,25,72,41,33, , ,E,6,8,1019.33,74,43,0.01
SHAW,Shawnee,OK,35.36,-96.95,2021,5,5,17,25,72,41,33, , ,E,6,9,1019.35,74,42, 
SKIA,Skiatook,OK,36.42,-96.04,2021,5,5,17,25,68,38,33, , ,E,2,3,1020.08,70,44, 
SLAP,Slapout,OK,36.60,-100.26,2021,5,5,17,25,73,48,41, , ,S,12,16,1016.90,77,48,0.06
SPEN,Spencer,OK,35.54,-97.34,2021,5,5,17,25,73,41,32, , ,ENE,6,9,1018.96,75,41, 
STIG,Stigler,OK,35.27,-95.18,2021,5,5,17,25,71,44,38, , ,NE,3,5,1019.26,72,41, 
STIL,Stillwater,OK,36.12,-97.10,2021,5,5,17,25,72,37,28, , ,SE,1,2,1019.62,73,39, 
STUA,Stuart,OK,34.88,-96.07,2021,5,5,17,25,71,38,30, , ,E,3,7,1019.38,73,43, 
SULP,Sulphur,OK,34.57,-96.95,2021,5,5,17,25,72,44,36, , ,E,4,7,1019.15,73,41, 
TAHL,Tahlequah,OK,35.97,-94.99,2021,5,5,17,25,71,37,29, , ,NNW,2,4,1019.98,72,37, 
TALA,Talala,OK,36.57,-95.75,2021,5,5,17,25,70,36,29, , ,NE,2,4,1020.37,71,40, 
TALI,Talihina,OK,34.71,-95.01,2021,5,5,17,25,73,39,29, , ,NNE,6,8,1019.08,74,41, 
TIPT,Tipton,OK,34.44,-99.14,2021,5,5,17,25,74,46,37, , ,SE,7,11,1018.75,76,43, 
TISH,Tishomingo,OK,34.33,-96.68,2021,5,5,17,25,72,39,30, , ,SE,3,6,1018.94,73,42, 
TULN,Tulsa,OK,36.20,-95.94,2021,5,5,17,25,70,39,32, , ,NE,3,6,1020.05,72,41, 
VALL,Valliant,OK,33.94,-95.11,2021,5,5,17,25,73,49,42, , ,ESE,3,7,1018.57,75,41, 
VINI,Vinita,OK,36.78,-95.22,2021,5,5,17,25,68,41,38, , ,NE,3,5,1020.55,70,36,0.01
WAL2,Walters,OK,34.40,-98.35,2021,5,5,17,25,72,46,39, , ,SSE,8,12,1018.84,73,46, 
WASH,Washington,OK,34.98,-97.52,2021,5,5,17,25,73,44,36, , ,SSE,4,6,1019.00,74,43, 
WATO,Watonga,OK,35.84,-98.53,2021,5,5,17,25,73,44,36, , ,S,7,10,1019.25,74,44, 
WAUR,Waurika,OK,34.17,-97.99,2021,5,5,17,25,74,44,33, , ,SE,5,7,1018.72,75,44, 
WEAT,Weatherford,OK,35.51,-98.78,2021,5,5,17,25,72,44,36, , ,S,7,12,1019.02,74,45, 
WEBR,Webbers Falls,OK,35.49,-95.12,2021,5,5,17,25,72,44,37, , , , , ,1019.35,73,43, 
WEST,Westville,OK,36.01,-94.64,2021,5,5,17,25,68,37,32, , ,NNE,5,6,1020.26,70,37, 
WILB,Wilburton,OK,34.90,-95.35,2021,5,5,17,25,72,46,39, , ,E,5,6,1019.07,73,41,0.01
WIST,Wister,OK,34.98,-94.69,2021,5,5,17,25,71,40,32, , ,ENE,3,5,1019.24,72,40,0.01
WOOD,Woodward,OK,36.42,-99.42,2021,5,5,17,25,76,42,30, , ,SE,9,13,1017.76,77,44,0.07
WYNO,Wynona,OK,36.52,-96.34,2021,5,5,17,25,70,33,25, , ,ESE,3,4,1019.91,73,41, 
YUKO,Yukon,OK,35.56,-97.76,2021,5,5,17,25,73,41,31, , ,ESE,5,7,1019.28,75,45, 

